CommitId;RefactoringType;RefactoringDetail
fcc9a34356817d93c24b5ccf3107ec234a28b136;Move Class;Move Class	org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter moved to org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter
fcc9a34356817d93c24b5ccf3107ec234a28b136;Move Class;Move Class	org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextServletOutputStream moved to org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextServletOutputStream
fcc9a34356817d93c24b5ccf3107ec234a28b136;Extract Superclass;Extract Superclass	org.springframework.security.web.context.OnCommittedResponseWrapper from classes [org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper]
fcc9a34356817d93c24b5ccf3107ec234a28b136;Rename Parameter;Rename Parameter	arg0 : String to s : String in method public print(s String) : void in class org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextServletOutputStream
fcc9a34356817d93c24b5ccf3107ec234a28b136;Pull Up Method;Pull Up Method	public sendError(sc int) : void from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public sendError(sc int) : void from class org.springframework.security.web.context.OnCommittedResponseWrapper
fcc9a34356817d93c24b5ccf3107ec234a28b136;Pull Up Method;Pull Up Method	public sendError(sc int, msg String) : void from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public sendError(sc int, msg String) : void from class org.springframework.security.web.context.OnCommittedResponseWrapper
fcc9a34356817d93c24b5ccf3107ec234a28b136;Pull Up Method;Pull Up Method	public sendRedirect(location String) : void from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public sendRedirect(location String) : void from class org.springframework.security.web.context.OnCommittedResponseWrapper
fcc9a34356817d93c24b5ccf3107ec234a28b136;Pull Up Method;Pull Up Method	public getOutputStream() : ServletOutputStream from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public getOutputStream() : ServletOutputStream from class org.springframework.security.web.context.OnCommittedResponseWrapper
fcc9a34356817d93c24b5ccf3107ec234a28b136;Pull Up Method;Pull Up Method	public getWriter() : PrintWriter from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public getWriter() : PrintWriter from class org.springframework.security.web.context.OnCommittedResponseWrapper
fcc9a34356817d93c24b5ccf3107ec234a28b136;Pull Up Method;Pull Up Method	public flushBuffer() : void from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public flushBuffer() : void from class org.springframework.security.web.context.OnCommittedResponseWrapper
