CommitId;RefactoringType;RefactoringDetail
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.hellofacebook.HelloFacebookBroadcastReceiver moved to com.example.hellofacebook.HelloFacebookBroadcastReceiver
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.hellofacebook.HelloFacebookSampleActivity moved to com.example.hellofacebook.HelloFacebookSampleActivity
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.rps.CommonObjects moved to com.example.rps.CommonObjects
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.rps.ContentFragment moved to com.example.rps.ContentFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.rps.MainActivity moved to com.example.rps.MainActivity
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.rps.OpenGraphConsts moved to com.example.rps.OpenGraphConsts
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.rps.RpsFragment moved to com.example.rps.RpsFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.rps.RpsGameUtils moved to com.example.rps.RpsGameUtils
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.rps.usersettings.UserSettingsFragment moved to com.example.rps.usersettings.UserSettingsFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.switchuser.MainActivity moved to com.example.switchuser.MainActivity
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.switchuser.ProfileFragment moved to com.example.switchuser.ProfileFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.switchuser.SettingsFragment moved to com.example.switchuser.SettingsFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.switchuser.Slot moved to com.example.switchuser.Slot
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.switchuser.UserInfo moved to com.example.switchuser.UserInfo
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.samples.switchuser.UserInfoCache moved to com.example.switchuser.UserInfoCache
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.iconicus.GameBoard moved to com.example.iconicus.GameBoard
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.iconicus.GameController moved to com.example.iconicus.GameController
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.iconicus.MainActivity moved to com.example.iconicus.MainActivity
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.BaseListElement moved to com.example.scrumptious.BaseListElement
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.FullListView moved to com.example.scrumptious.FullListView
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.MainActivity moved to com.example.scrumptious.MainActivity
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.PickerActivity moved to com.example.scrumptious.PickerActivity
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.ScrumptiousApplication moved to com.example.scrumptious.ScrumptiousApplication
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.SelectionFragment moved to com.example.scrumptious.SelectionFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.SplashFragment moved to com.example.scrumptious.SplashFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.picker.FriendPickerFragment moved to com.example.scrumptious.picker.FriendPickerFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.picker.GraphObjectAdapter moved to com.example.scrumptious.picker.GraphObjectAdapter
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.picker.GraphObjectCursor moved to com.example.scrumptious.picker.GraphObjectCursor
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.picker.GraphObjectPagingLoader moved to com.example.scrumptious.picker.GraphObjectPagingLoader
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.picker.PickerFragment moved to com.example.scrumptious.picker.PickerFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.picker.PlacePickerFragment moved to com.example.scrumptious.picker.PlacePickerFragment
e813a0be86c87366157a0201e6c61662cadee586;Move Class;Move Class	com.facebook.scrumptious.usersettings.UserSettingsFragment moved to com.example.scrumptious.usersettings.UserSettingsFragment
e813a0be86c87366157a0201e6c61662cadee586;Rename Attribute;Rename Attribute	uiName : String to contextName : String in class com.facebook.appevents.AppEventsLogger
e813a0be86c87366157a0201e6c61662cadee586;Rename Parameter;Rename Parameter	uiName : String to contextName : String in method public AppEvent(contextName String, eventName String, valueToSum Double, parameters Bundle, isImplicitlyLogged boolean) in class com.facebook.appevents.AppEventsLogger.AppEvent
e813a0be86c87366157a0201e6c61662cadee586;Extract Method;Extract Method	private getAndroidIdViaReflection(context Context) : AttributionIdentifiers extracted from private getAndroidId(context Context) : AttributionIdentifiers in class com.facebook.internal.AttributionIdentifiers
