CommitId;RefactoringType;RefactoringDetail
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	public resumeFragment(outcomeListener RpcOutcomeListener<Ack>, handle FragmentHandle) : void renamed to public unpauseFragment(outcomeListener RpcOutcomeListener<Ack>, handle FragmentHandle) : void in class org.apache.drill.exec.rpc.control.ControlTunnel
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	private assertExceptionInjected(throwable Throwable, exceptionClass Class<? extends Throwable>, desc String) : void renamed to private assertExceptionMessage(throwable Throwable, exceptionClass Class<? extends Throwable>, desc String) : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	private assertCompleteState(result Pair<QueryState,Exception>, expectedState QueryState) : void renamed to private assertStateCompleted(result Pair<QueryState,Exception>, expectedState QueryState) : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	public cancelBeforeAnyResultsArrive() : void renamed to public cancelWhenQueryIdArrives() : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	public testInterruptingBlockedMergingRecordBatch() : void renamed to public interruptingBlockedMergingRecordBatch() : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	public testInterruptingBlockedUnorderedReceiverBatch() : void renamed to public interruptingBlockedUnorderedReceiverBatch() : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	private testInterruptingBlockedFragmentsWaitingForData(control String) : void renamed to private interruptingBlockedFragmentsWaitingForData(control String) : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	public testInterruptingPartitionerThreadFragment() : void renamed to public interruptingPartitionerThreadFragment() : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	public testInterruptingWhileFragmentIsBlockedInAcquiringSendingTicket() : void renamed to public interruptingWhileFragmentIsBlockedInAcquiringSendingTicket() : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	public testInterruptingAfterMSorterSorting() : void renamed to public failsAfterMSorterSorting() : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;Rename Method	public testInterruptingAfterMSorterSetup() : void renamed to public failsAfterMSorterSetup() : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Inline Method;Inline Method	private assertCancelled(controls String, testQuery String, listener WaitUntilCompleteListener) : void inlined to private assertCancelledWithoutException(controls String, listener WaitUntilCompleteListener, query String) : void in class org.apache.drill.exec.server.TestDrillbitResilience
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Extract Method;Extract Method	public setSessionOption(drillClient DrillClient, option String, value String) : void extracted from public setControls(drillClient DrillClient, controls String) : void in class org.apache.drill.exec.testing.ControlsInjectionUtil
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Variable;Rename Variable	jsonString : String to controls : String in method public latchInjected() : void in class org.apache.drill.exec.testing.TestCountDownLatchInjection
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Variable;Rename Variable	jsonString : String to controls : String in method public pauseInjected() : void in class org.apache.drill.exec.testing.TestPauseInjection
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Variable;Rename Variable	jsonString : String to controls : String in method public pauseOnSpecificBit() : void in class org.apache.drill.exec.testing.TestPauseInjection
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Extract And Move Method;Extract And Move Method	public validateControlsString(jsonString String) : void extracted from public validate(v OptionValue) : void in class org.apache.drill.exec.testing.ExecutionControls.ControlsOptionValidator & moved to class org.apache.drill.exec.testing.ExecutionControls
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Extract And Move Method;Extract And Move Method	public validateControlsString(jsonString String) : void extracted from private validateControlsString(controls String) : void in class org.apache.drill.exec.testing.ControlsInjectionUtil & moved to class org.apache.drill.exec.testing.ExecutionControls
