CommitId;RefactoringType;RefactoringDetail
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Class;Move Class	org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter moved to org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Class;Move Class	org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextServletOutputStream moved to org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextServletOutputStream
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Extract Superclass;Extract Superclass	org.springframework.security.web.context.OnCommittedResponseWrapper from classes [org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper]
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Rename Parameter;Rename Parameter	arg0 : String to s : String in method public print(s String) : void in class org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextServletOutputStream
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;Pull Up Method	public sendError(sc int) : void from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public sendError(sc int) : void from class org.springframework.security.web.context.OnCommittedResponseWrapper
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;Pull Up Method	public sendError(sc int, msg String) : void from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public sendError(sc int, msg String) : void from class org.springframework.security.web.context.OnCommittedResponseWrapper
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;Pull Up Method	public sendRedirect(location String) : void from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public sendRedirect(location String) : void from class org.springframework.security.web.context.OnCommittedResponseWrapper
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;Pull Up Method	public getOutputStream() : ServletOutputStream from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public getOutputStream() : ServletOutputStream from class org.springframework.security.web.context.OnCommittedResponseWrapper
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;Pull Up Method	public getWriter() : PrintWriter from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public getWriter() : PrintWriter from class org.springframework.security.web.context.OnCommittedResponseWrapper
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;Pull Up Method	public flushBuffer() : void from class org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper to public flushBuffer() : void from class org.springframework.security.web.context.OnCommittedResponseWrapper
