CommitId;RefactoringType;RefactoringDetail
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Move Class;contrib/storage-hive/core/src/main/java/org.apache.drill.exec.store.hive.schema.HiveSchemaFactory.TableLoaderLoader;contrib/storage-hive/core/src/main/java/org.apache.drill.exec.store.hive.DrillHiveMetaStoreClient.NonCloseableHiveClientWithCaching.TableLoaderLoader
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Pull Up Method;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.TestImpersonationDisabledWithMiniDFS#addMiniDfsBasedStorage();exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.BaseTestImpersonation#addMiniDfsBasedStorage(Map)
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Pull Up Method;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.TestImpersonationMetadata#addMiniDfsBasedStorage();exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.BaseTestImpersonation#addMiniDfsBasedStorage(Map)
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Move Method;contrib/storage-hive/core/src/test/java/org.apache.drill.exec.store.hive.HiveTestDataGenerator#executeQuery(Driver, String);contrib/storage-hive/core/src/test/java/org.apache.drill.exec.hive.HiveTestUtilities#executeQuery(Driver, String)
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Extract Method;contrib/storage-hive/core/src/test/java/org.apache.drill.exec.store.hive.HiveTestDataGenerator#getInstance();exec/java-exec/src/test/java/org.apache.drill.BaseTestQuery#getTempDir(String)
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Extract Method;contrib/storage-hive/core/src/test/java/org.apache.drill.exec.store.hive.HiveTestDataGenerator#generateTestData();exec/java-exec/src/test/java/org.apache.drill.BaseTestQuery#getTempDir(String)
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Extract Method;contrib/storage-hive/core/src/main/java/org.apache.drill.exec.store.hive.schema.HiveSchemaFactory#(HiveStoragePlugin, String, Map);contrib/storage-hive/core/src/main/java/org.apache.drill.exec.store.hive.DrillHiveMetaStoreClient#createNonCloseableClientWithCaching(HiveConf, Map)
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Pull Up Attribute;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.TestImpersonationQueries#org2Groups;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.BaseTestImpersonation#org2Groups
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Pull Up Attribute;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.TestImpersonationQueries#org2Users;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.BaseTestImpersonation#org2Users
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Pull Up Attribute;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.TestImpersonationMetadata#MINIDFS_STORAGE_PLUGIN_NAME;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.BaseTestImpersonation#MINIDFS_STORAGE_PLUGIN_NAME
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Pull Up Attribute;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.TestImpersonationQueries#org1Groups;exec/java-exec/src/test/java/org.apache.drill.exec.impersonation.BaseTestImpersonation#org1Groups
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Move Attribute;contrib/storage-hive/core/src/main/java/org.apache.drill.exec.store.hive.schema.HiveSchemaFactory#tableLoaders;contrib/storage-hive/core/src/main/java/org.apache.drill.exec.store.hive.DrillHiveMetaStoreClient.NonCloseableHiveClientWithCaching#tableLoaders
c1b847acdc8cb90a1498b236b3bb5c81ca75c044;Move Attribute;contrib/storage-hive/core/src/main/java/org.apache.drill.exec.store.hive.schema.HiveSchemaFactory#tableNameLoader;contrib/storage-hive/core/src/main/java/org.apache.drill.exec.store.hive.DrillHiveMetaStoreClient.NonCloseableHiveClientWithCaching#tableNameLoader
