CommitId;RefactoringType;RefactoringDetail
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Class;test/unit/org.apache.cassandra.cql3.CrcCheckChanceTest;test/unit/org.apache.cassandra.cql3.validation.miscellaneous.CrcCheckChanceTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Class;test/unit/org.apache.cassandra.cql3.SSTableMetadataTrackingTest;test/unit/org.apache.cassandra.cql3.validation.miscellaneous.SSTableMetadataTrackingTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Class;test/unit/org.apache.cassandra.cql3.TypeTest;test/unit/org.apache.cassandra.cql3.validation.entities.TypeTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Class;test/unit/org.apache.cassandra.cql3.FrozenCollectionsTest;test/unit/org.apache.cassandra.cql3.validation.entities.FrozenCollectionsTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move And Rename Class;test/unit/org.apache.cassandra.cql3.SingleColumnRelationTest;test/unit/org.apache.cassandra.cql3.validation.operations.SelectSingleColumnRelationTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move And Rename Class;test/unit/org.apache.cassandra.cql3.SliceQueryFilterWithTombstonesTest;test/unit/org.apache.cassandra.cql3.validation.miscellaneous.TombstonesTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move And Rename Class;test/unit/org.apache.cassandra.cql3.MultiColumnRelationTest;test/unit/org.apache.cassandra.cql3.validation.operations.SelectMultiColumnRelationTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move And Rename Class;test/unit/org.apache.cassandra.cql3.UseStatementTest;test/unit/org.apache.cassandra.cql3.validation.operations.UseTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move And Rename Class;test/unit/org.apache.cassandra.cql3.AlterTableTest;test/unit/org.apache.cassandra.cql3.validation.operations.AlterTest
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CollectionsTest#testInvalidCollectionsMix();test/unit/org.apache.cassandra.cql3.validation.entities.CollectionsTest#testInvalidCollectionsMix()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CollectionsTest#testLists();test/unit/org.apache.cassandra.cql3.validation.entities.CollectionsTest#testLists()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CollectionsTest#testMapBulkRemoval();test/unit/org.apache.cassandra.cql3.validation.entities.CollectionsTest#testMapBulkRemoval()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CollectionsTest#testMaps();test/unit/org.apache.cassandra.cql3.validation.entities.CollectionsTest#testMaps()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CollectionsTest#testSets();test/unit/org.apache.cassandra.cql3.validation.entities.CollectionsTest#testSets()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testContainsKeyAndContainsWithIndexOnMapKey();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testContainsKeyAndContainsWithIndexOnMapKey()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testContainsKeyAndContainsWithIndexOnMapValue();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testContainsKeyAndContainsWithIndexOnMapValue()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testFilterForContains();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testFilterForContains()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testIndexLookupWithClusteringPrefix();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testIndexLookupWithClusteringPrefix()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testListContains();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testListContains()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testListContainsWithFiltering();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testListContainsWithFiltering()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testMapKeyContains();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testMapKeyContains()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testMapValueContains();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testMapValueContains()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testQueryMultipleIndexTypes();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testQueryMultipleIndexTypes()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.ContainsRelationTest#testSetContains();test/unit/org.apache.cassandra.cql3.validation.operations.SelectTest#testSetContains()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateIndexStatementTest#removeQuotes(String);test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#removeQuotes(String)
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateIndexStatementTest#testCreateAndDropIndex();test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testCreateAndDropIndex()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateIndexStatementTest#testCreateAndDropIndex(String, boolean);test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testCreateAndDropIndex(String, boolean)
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateIndexStatementTest#testCreateAndDropIndexWithCamelCaseIdentifier();test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testCreateAndDropIndexWithCamelCaseIdentifier()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateIndexStatementTest#testCreateAndDropIndexWithQuotedIdentifier();test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testCreateAndDropIndexWithQuotedIdentifier()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateTableTest#testCQL3PartitionKeyOnlyTable();test/unit/org.apache.cassandra.cql3.validation.operations.CreateTest#testCQL3PartitionKeyOnlyTable()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateTriggerStatementTest#assertTriggerExists(String, Class);test/unit/org.apache.cassandra.cql3.validation.operations.CreateTest#assertTriggerExists(String, Class)
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateTriggerStatementTest#testCreateTrigger();test/unit/org.apache.cassandra.cql3.validation.operations.CreateTest#testCreateTrigger()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateTriggerStatementTest#testCreateTriggerIfNotExists();test/unit/org.apache.cassandra.cql3.validation.operations.CreateTest#testCreateTriggerIfNotExists()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateTriggerStatementTest#testDropTrigger();test/unit/org.apache.cassandra.cql3.validation.operations.CreateTest#testDropTrigger()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateTriggerStatementTest#testDropTriggerIfExists();test/unit/org.apache.cassandra.cql3.validation.operations.CreateTest#testDropTriggerIfExists()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.CreateTriggerStatementTest.TestTrigger#augment(ByteBuffer, ColumnFamily);test/unit/org.apache.cassandra.cql3.validation.operations.CreateTest.TestTrigger#augment(ByteBuffer, ColumnFamily)
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.IndexedValuesValidationTest#failInsert(String, Object[]);test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#failInsert(String, Object[])
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.IndexedValuesValidationTest#succeedInsert(String, Object[]);test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#succeedInsert(String, Object[])
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.IndexedValuesValidationTest#testCompactTableWithValueOver64k();test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testCompactTableWithValueOver64k()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.IndexedValuesValidationTest#testIndexOnClusteringColumnInsertPartitionKeyAndClusteringsOver64k();test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testIndexOnClusteringColumnInsertPartitionKeyAndClusteringsOver64k()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.IndexedValuesValidationTest#testIndexOnClusteringColumnInsertValueOver64k();test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testIndexOnClusteringColumnInsertValueOver64k()
f797bfa4da53315b49f8d97b784047f33ba1bf5f;Move Method;test/unit/org.apache.cassandra.cql3.IndexedValuesValidationTest#testIndexOnCollectionKeyInsertPartitionKeyAndClusteringOver64k();test/unit/org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testIndexOnCollectionKeyInsertPartitionKeyAndClusteringOver64k()
