CommitId;RefactoringType;RefactoringDetail
446e2537895c15b404a74107069a12f3fc404b15;Move Class;src/java/org.apache.cassandra.hadoop.BulkRecordWriter.NullOutputHandler;src/java/org.apache.cassandra.hadoop.cql3.CqlBulkRecordWriter.NullOutputHandler
446e2537895c15b404a74107069a12f3fc404b15;Move Class;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat.SplitCallable;src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat.SplitCallable
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageSchema();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageSchema()
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageCompositeColumnCF();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageCompositeColumnCF()
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageFullCopy();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageFullCopy()
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageFilter();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageFilter()
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageSingleTupleCopy();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageSingleTupleCopy()
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageBagOnlyCopy();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageBagOnlyCopy()
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageCounterCF();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageCounterCF()
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageJoin();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageJoin()
446e2537895c15b404a74107069a12f3fc404b15;Rename Method;test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCassandraStorageCompositeKeyCF();test/pig/org.apache.cassandra.pig.ThriftColumnFamilyTest#testCqlNativeStorageCompositeKeyCF()
446e2537895c15b404a74107069a12f3fc404b15;Move Method;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#describeSplits(String, String, TokenRange, int);src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#describeSplits(String, String, TokenRange, int)
446e2537895c15b404a74107069a12f3fc404b15;Move Method;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#getRangeMap(Configuration, String);src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#getRangeMap(Configuration, String)
446e2537895c15b404a74107069a12f3fc404b15;Move Method;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#getSubSplits(String, String, TokenRange, Configuration);src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#getSubSplits(String, String, TokenRange, Configuration)
446e2537895c15b404a74107069a12f3fc404b15;Move Method;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#rangeToTokenRange(Metadata, Range);src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#rangeToTokenRange(Metadata, Range)
446e2537895c15b404a74107069a12f3fc404b15;Move Method;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#validateConfiguration(Configuration);src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#validateConfiguration(Configuration)
446e2537895c15b404a74107069a12f3fc404b15;Move Method;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#getSplits(JobContext);src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#getSplits(JobContext)
446e2537895c15b404a74107069a12f3fc404b15;Move Method;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#getSplits(JobConf, int);src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#getSplits(JobConf, int)
446e2537895c15b404a74107069a12f3fc404b15;Move Attribute;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#cfName;src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#cfName
446e2537895c15b404a74107069a12f3fc404b15;Move Attribute;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#keyspace;src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#keyspace
446e2537895c15b404a74107069a12f3fc404b15;Move Attribute;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#logger;src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#logger
446e2537895c15b404a74107069a12f3fc404b15;Move Attribute;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#partitioner;src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#partitioner
446e2537895c15b404a74107069a12f3fc404b15;Move Attribute;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#session;src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#session
446e2537895c15b404a74107069a12f3fc404b15;Move Attribute;src/java/org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#MAPRED_TASK_ID;src/java/org.apache.cassandra.hadoop.cql3.CqlInputFormat#MAPRED_TASK_ID
