CommitId;RefactoringType;RefactoringDetail
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.extensions.CustomGraphRepository;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.extensions.CustomGraphRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.extensions.CustomGraphRepositoryImpl;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.extensions.CustomGraphRepositoryImpl
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.extensions.CustomGraphRepositoryTest;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.extensions.CustomGraphRepositoryTest
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.extensions.UserRepository;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.extensions.UserRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.extensions.domain.User;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.extensions.domain.User
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.helloworld.service.GalaxyService;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.galaxy.service.GalaxyService
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.jsr303.controller.AdultController;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.jsr303.controller.AdultController
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.jsr303.domain.Adult;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.jsr303.domain.Adult
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.jsr303.repo.AdultRepository;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.jsr303.repo.AdultRepository
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.jsr303.service.AdultService;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.jsr303.service.AdultService
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.movies.domain.AbstractAnnotatedEntity;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.movies.domain.AbstractAnnotatedEntity
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.movies.domain.AbstractEntity;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.movies.domain.AbstractEntity
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.movies.domain.Actor;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.movies.domain.Actor
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.movies.domain.Cinema;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.movies.domain.Cinema
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.movies.domain.Genre;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.movies.domain.Genre
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.movies.domain.Movie;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.movies.domain.Movie
071588a418dbc743e0f7dbfe218cd8a6c0f97421;Move Class;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.integration.movies.domain.Person;spring-data-neo4j/src/test/java/org.springframework.data.neo4j.examples.movies.domain.Person
