CommitId;RefactoringType;RefactoringDetail
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Rename Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper#doSaveContext();web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper#onResponseCommitted()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper#getOutputStream();web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper#getOutputStream()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper#getWriter();web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper#getWriter()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper#sendError(int, String);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper#sendError(int, String)
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper#sendRedirect(String);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper#sendRedirect(String)
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper#sendError(int);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper#sendError(int)
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Pull Up Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper#flushBuffer();web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper#flushBuffer()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#checkError();web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#checkError()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#equals(Object);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#equals(Object)
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#format(Locale, String, Object[]);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#format(Locale, String, Object[])
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#format(String, Object[]);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#format(String, Object[])
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#hashCode();web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#hashCode()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#printf(Locale, String, Object[]);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#printf(Locale, String, Object[])
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#printf(String, Object[]);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#printf(String, Object[])
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#toString();web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#toString()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextServletOutputStream#equals(Object);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#equals(Object)
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextServletOutputStream#hashCode();web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#hashCode()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextServletOutputStream#toString();web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#toString()
08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff;Move Method;web/src/main/java/org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.SaveContextPrintWriter#write(char[], int, int);web/src/main/java/org.springframework.security.web.context.OnCommittedResponseWrapper.SaveContextPrintWriter#write(char[], int, int)
