CommitId;RefactoringType;RefactoringDetail
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/main/java/org.apache.drill.exec.rpc.control.ControlTunnel#resumeFragment(RpcOutcomeListener, FragmentHandle);exec/java-exec/src/main/java/org.apache.drill.exec.rpc.control.ControlTunnel#unpauseFragment(RpcOutcomeListener, FragmentHandle)
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#assertCompleteState(Pair, QueryState);exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#assertStateCompleted(Pair, QueryState)
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#assertExceptionInjected(Throwable, Class, String);exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#assertExceptionMessage(Throwable, Class, String)
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#testInterruptingBlockedFragmentsWaitingForData(String);exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#interruptingBlockedFragmentsWaitingForData(String)
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#testInterruptingAfterMSorterSetup();exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#failsAfterMSorterSetup()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#testInterruptingAfterMSorterSorting();exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#failsAfterMSorterSorting()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#cancelBeforeAnyResultsArrive();exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#cancelWhenQueryIdArrives()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#testInterruptingWhileFragmentIsBlockedInAcquiringSendingTicket();exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#interruptingWhileFragmentIsBlockedInAcquiringSendingTicket()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#testInterruptingBlockedUnorderedReceiverBatch();exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#interruptingBlockedUnorderedReceiverBatch()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#testInterruptingBlockedMergingRecordBatch();exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#interruptingBlockedMergingRecordBatch()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#testInterruptingPartitionerThreadFragment();exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#interruptingPartitionerThreadFragment()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Rename Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#settingNoopInjectionsAndQuery();exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#settingNoOpInjectionsAndQuery()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Move Method;exec/java-exec/src/test/java/org.apache.drill.exec.testing.TestExceptionInjection#createExceptionOnBit(DrillbitEndpoint, String, int, int, String);exec/java-exec/src/test/java/org.apache.drill.exec.testing.ControlsInjectionUtil#createExceptionOnBit(Class, String, int, int, Class, DrillbitEndpoint)
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Move Method;exec/java-exec/src/test/java/org.apache.drill.exec.testing.TestExceptionInjection#createException(String, int, int, String);exec/java-exec/src/test/java/org.apache.drill.exec.testing.ControlsInjectionUtil#createException(Class, String, int, int, Class)
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Extract Method;exec/java-exec/src/test/java/org.apache.drill.exec.server.TestDrillbitResilience#testForeman(String);exec/java-exec/src/test/java/org.apache.drill.exec.testing.Controls#newBuilder()
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Extract Method;exec/java-exec/src/test/java/org.apache.drill.exec.testing.TestExceptionInjection#checkedInjection();exec/java-exec/src/test/java/org.apache.drill.exec.testing.Controls.Builder#addException(Class, String, Class, int, int)
00aa01fb90f3210d1e3027d7f759fb1085b814bd;Extract Method;exec/java-exec/src/test/java/org.apache.drill.exec.testing.TestExceptionInjection#skipAndLimit();exec/java-exec/src/test/java/org.apache.drill.exec.testing.Controls.Builder#addException(Class, String, Class, int, int)
