CommitId;RefactoringType;RefactoringDetail
84937551787072a4befac29fb48436b3187ac4c6;Move Class;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration.SpringBootSecDispatcher;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettingsReader.SpringBootSecDispatcher
84937551787072a4befac29fb48436b3187ac4c6;Move Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#createMirrorSelector(Settings);spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettings#createMirrorSelector(Settings)
84937551787072a4befac29fb48436b3187ac4c6;Move Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#createSettingsDecrypter();spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettingsReader#createSettingsDecrypter()
84937551787072a4befac29fb48436b3187ac4c6;Move Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#decryptSettings(Settings);spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettingsReader#decryptSettings(Settings)
84937551787072a4befac29fb48436b3187ac4c6;Move Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#loadSettings();spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettingsReader#loadSettings()
84937551787072a4befac29fb48436b3187ac4c6;Move Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#setField(Class, String, Object, Object);spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettingsReader#setField(Class, String, Object, Object)
84937551787072a4befac29fb48436b3187ac4c6;Move Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#createProxySelector(List);spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettings#createProxySelector(SettingsDecryptionResult)
84937551787072a4befac29fb48436b3187ac4c6;Move Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#createAuthenticationSelector(List);spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettings#createAuthenticationSelector(SettingsDecryptionResult)
84937551787072a4befac29fb48436b3187ac4c6;Move Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.RepositoryConfigurationFactory#loadSettings();spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettingsReader#loadSettings()
84937551787072a4befac29fb48436b3187ac4c6;Extract Method;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#apply(DefaultRepositorySystemSession, RepositorySystem);spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettingsReader#readSettings()
84937551787072a4befac29fb48436b3187ac4c6;Move Attribute;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.grape.SettingsXmlRepositorySystemSessionAutoConfiguration#homeDir;spring-boot-cli/src/main/java/org.springframework.boot.cli.compiler.MavenSettingsReader#homeDir
