Tool,CommitId,ExecutionTime
RefDiff,6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb,6095.8
RefDiff,2801269c7e47bd6e243612654a74cee809d20959,606.5
RefDiff,72f61ec9b85a740fd09d10ad711e275d2ec2e564,595.9
RefDiff,722ef9156896248ef3fbe83adde0f6ff8f46856a,1636.6
RefDiff,55ffa2f3353c5dc77fe6b790e5e045b76a07a772,683.2
RefDiff,e235f884f2e0bc258da77b9c80492ad33386fa86,922.7
RefDiff,4ef35268bb96bb78b2dc698fa68e7ce763cde32e,2763.4
RefDiff,56d4b999e8be70be237049708f019c278c356e71,2280.2
RefDiff,2b89553db5081fe4e55b7b34d636d0ea2acf71c5,6953.3
RefDiff,19a49f8f36b2f6d82534dc13504d672e41a3a8d1,837.6
RefDiff,44dea1f292933192ea5287d9b3e14a7daaef3c0f,2742.8
RefDiff,718782014519034b28f6d3182fd9d340b7b31a74,2663.9
RefDiff,20d39f7af2165c67d5221f556f58820c992d2cc6,3079.7
RefDiff,f6212a7e474f812f31ddbce6d4f7a7a0d498b751,800.7
RefDiff,182f4d1174036417aad9d6db908ceaf64234fd5f,9008.4
RefDiff,cb98ee25ff52bf97faebe3f45cdef0ced9b4416e,4002.9
RefDiff,b47634176fa48ad925f79886c6aaca225cb9af64,4537.1
RefDiff,457a7f637ddb226acf477cae0b04c8ff16ec9a50,963.4
RefDiff,c11fef6e7c80681ce69e5fdc7f4796b0b7a18e2b,1505.1
RefDiff,f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,827.5
RefDiff,b36ab386559d04db114db8edd87c8d4cbf850c12,1533.9
RefDiff,1571049ec04b1e7e6f082ed5ec071584e7200c12,730.2
RefDiff,cd8c4d578a609bdd6395d3a8c49bfd19ed700dea,227.0
RefDiff,da6167af3bdbf7663af6c20fb603aba27dd5e174,1202.3
RefDiff,6c59050b8b03adf6d8043f3fb7add0496f447edf,1522.3
RefDiff,a6601066ddc72ef8e71c46c5a51e1252ea0a1af5,3314.2
RefDiff,f797bfa4da53315b49f8d97b784047f33ba1bf5f,8378.3
RefDiff,071588a418dbc743e0f7dbfe218cd8a6c0f97421,1835.1
RefDiff,e813a0be86c87366157a0201e6c61662cadee586,3988.7
RefDiff,2581441eda268c45306423dd4c515514d98a14a0,1365.6
RefDiff,200f1577d238a6d3fbcf99cb2a2585b2071214a6,757.8
RefDiff,69dd55c93fc99c5f7a1e2c21f10e671e311be49e,3756.1
RefDiff,2b2bb6c734d106cdd1c0f4691607be2fe11d7ebb,1500.5
RefDiff,a7401e5091c06c68fae499ea1972b40143c66fa9,823.6
RefDiff,64938ebcfc2fc8cd9ccd6cf31dbcd8cdd0660aca,3000.2
RefDiff,02d3fa171d02c9d82c7bdcaeb739f47d0c0006a0,468.5
RefDiff,3b1f4e56fea289860b31ef83ccfe96a3a003cc8b,754.8
RMiner,6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb,0.212962
RMiner,cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe,0.002842
RMiner,2801269c7e47bd6e243612654a74cee809d20959,0.002899
RMiner,72f61ec9b85a740fd09d10ad711e275d2ec2e564,0.003358
RMiner,722ef9156896248ef3fbe83adde0f6ff8f46856a,0.001971
RMiner,18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7,0.003794
